5,236e+10
2,389e-01
9,801e+04
6,615e+02
3,176e-03
4,920e+01
8,625e+02
1,100e-06
7,631e+03
1,942e+00
6,941e-05
2,388e+02
9,482e+05
7,149e-02
5,960e+01
1,234e+03
2,310e-04
3,211e+04
9,100e-01
4,577e+01
5,873e-03
8,762e+05
3,419e+02
6,542e-06
1,779e+02
5,914e+04
9,219e-02
2,734e+03
1,143e-03
6,100e+01
1,099e+05
4,873e-01
7,528e+01
2,657e-05
1,623e+04
6,927e-01
7,741e+02
5,427e-03
3,984e+05
8,097e+01
3,519e-04
2,550e+01
8,946e+03
3,654e-02
5,268e+02
9,870e-04
7,023e+01
2,517e+04
9,438e-01
4,918e+00
8,526e-03
6,341e+05
1,707e+02
2,627e-05
1,400e+02
5,939e+03
1,729e-01
7,820e+02
4,102e-03
5,670e+01
9,527e+04
3,937e-01
7,337e+01
3,777e-05
2,111e+04
8,346e-01
2,919e+02
9,730e-03
5,198e+05
7,735e+01
2,813e-04
1,364e+02
7,500e+03
2,228e-02
3,575e+02
8,142e-04
6,360e+01
1,003e+05
4,692e-01
4,233e+00
6,358e-03
9,439e+05
1,544e+02
2,189e-05
1,677e+02
6,983e+03
1,348e-01
7,979e+02
3,831e-03
5,562e+01
1,051e+05
6,825e-01
7,934e+01
6,631e-05
2,260e+04
9,062e-01
2,375e+02
8,671e-03
5,012e+05
8,237e+01
